"county-state"	"countynum"
"Los Angeles California"	6037
"Cook Illinois "	17031
"Harris Texas "	48201
"Maricopa Arizona "	4013
"San Diego California"	6073
"Orange California "	6059
"Miami-Dade Florida "	12086
"Dallas Texas "	19049
"Kings New York"	36047
"Riverside California "	6065
"Queens New York"	36081
"King Washington "	53033
"Clark Nevada "	32003
"San Bernardino California"	6071
"Tarrant Texas "	48439
"Bexar Texas "	48029
"Broward Florida "	12011
"Santa Clara California"	6085
"Wayne Michigan "	26163
"Alameda California "	6001
"New York New York "	36061
"Middlesex Massachusetts "	51119
"Philadelphia Pennsylvania "	42101
"Sacramento California "	6067
"Palm Beach Florida"	12099
"Suffolk New York"	36103
"Hillsborough Florida "	12057
"Bronx New York"	36005
"Nassau New York"	36059
"Orange Florida "	12095
"Franklin Ohio "	39049
"Hennepin Minnesota "	27053
"Oakland Michigan "	26125
"Travis Texas "	48453
"Cuyahoga Ohio "	39035
"Allegheny Pennsylvania "	42003
"Salt Lake Utah"	49035
"Fairfax Virginia "	51059
"Contra Costa California"	6013
"Mecklenburg North Carolina"	37119
"Wake North Carolina"	37183
"Montgomery Maryland "	24031
"Fulton Georgia "	13121
"Pima Arizona "	4019
"Collin Texas "	48085
"St. Louis Missouri"	29189
"Fresno California "	6019
"Honolulu Hawaii "	15003
"Pinellas Florida "	12103
"Westchester New York"	36119
